HIP,gLon,gLat,ra,dec,vmag
32349,227.2282,-8.8878,101.287155,-16.716116,-1.44
30438,261.2121,-25.2923,95.98795799999999,-52.69566,-0.62
69673,15.0656,69.1111,213.9153,19.18241,-0.05
71683,315.7419,-0.6843,219.90206600000002,-60.833975,-0.01
91262,67.4473,19.2375,279.234735,38.783691999999995,0.03
24608,162.5875,4.5669,79.172329,45.997991,0.08
24436,209.2412,-25.2454,78.634468,-8.201641,0.18
37279,213.7007,13.0221,114.825493,5.224993,0.4
7588,290.8416,-58.7922,24.428527,-57.236757,0.45
27989,199.7872,-8.9587,88.792939,7.407063000000001,0.45
68702,311.767,1.2511,210.955852,-60.373039,0.61
97649,47.7426,-8.9085,297.695829,8.868322000000001,0.76
60718,300.1267,-0.3627,186.649566,-63.099092000000006,0.77
21421,180.9714,-20.2481,68.980161,16.509301,0.87
65474,316.1125,50.8446,201.298247,-11.161322,0.98
80763,351.9472,15.0643,247.35192,-26.432002,1.06
37826,192.2297,23.4077,116.32896000000001,28.026199,1.16
113368,20.489,-64.9088,344.412694,-29.622235999999997,1.17
62434,302.4624,3.1796,191.930263,-59.688764,1.25
102098,84.2847,1.9975,310.357978,45.280338,1.25
49669,226.4278,48.9347,152.092961,11.967207,1.36
33579,239.8311,-11.3298,104.656452,-28.972084000000002,1.5
36850,187.4408,22.4798,113.649428,31.888276,1.58
61084,300.1691,5.6504,187.791497,-57.113212,1.59
85927,351.7444,-2.2143,263.402167,-37.103821,1.62
25336,196.9278,-15.9532,81.282763,6.349702,1.64
25428,177.994,-3.7452,81.572972,28.60745,1.65
45238,285.9789,-14.4072,138.29989799999998,-69.717208,1.67
26311,205.2121,-17.2417,84.053389,-1.20192,1.69
109268,349.9992,-52.4736,332.058273,-46.960975,1.73
26727,206.4522,-16.5852,85.189696,-1.9425720000000002,1.74
39953,262.8026,-7.6858,122.383126,-47.336588,1.75
62956,122.1806,61.1646,193.507289,55.959821,1.76
90185,359.1941,-9.8075,276.042993,-34.384615999999994,1.79
15863,146.5686,-5.8624,51.080709999999996,49.86118,1.79
54061,142.8482,51.0087,165.931953,61.75103299999999,1.81
34444,238.4175,-8.2666,107.097851,-26.3932,1.83
67301,100.695,65.3223,206.885157,49.313265,1.85
86228,347.1389,-5.9757,264.329711,-42.997824,1.86
41037,274.2856,-12.6009,125.628482,-59.509482999999996,1.86
28360,167.4569,10.4096,89.88217900000001,44.947433000000004,1.9
82273,321.5358,-15.2587,252.16622900000002,-69.027715,1.91
42913,272.0785,-7.3708,131.175943,-54.70882099999999,1.93
31681,196.7735,4.4526,99.427921,16.399252,1.93
100751,340.9046,-35.1931,306.411908,-56.73509,1.94
11767,123.2804,26.4614,37.954515,89.26411,1.97
30324,226.0598,-14.268,95.674939,-17.955918,1.98
46390,241.4882,29.0454,141.896847,-8.658603,1.99
9884,144.5777,-36.2054,31.793363,23.462423,2.01
50583,216.5506,54.6518,154.993144,19.841489000000003,2.01
3419,111.3267,-80.681,10.897378999999999,-17.986604999999997,2.04
92855,9.556,-12.4351,283.816357,-26.296721999999995,2.05
68933,319.4553,24.0768,211.670619,-36.369954,2.06
27366,214.5143,-18.4965,86.93911999999999,-9.669605,2.07
112122,346.2672,-57.9538,340.666878,-46.884577,2.07
677,111.7319,-32.8429,2.096911,29.090432,2.07
5447,127.1071,-27.1026,17.433015,35.620558,2.07
72607,112.6471,40.5026,222.67636000000002,74.155505,2.07
86032,35.8942,22.5685,263.733627,12.560035000000001,2.08
14576,148.9765,-14.9003,47.042215,40.955648,2.09
9640,136.9644,-18.5589,30.974804,42.329725,2.1
57632,250.6422,70.8008,177.264907,14.57206,2.14
4427,123.5768,-2.1484,14.177216,60.71674,2.15
61932,301.2553,13.8796,190.37932800000002,-48.959888,2.2
39429,255.9759,-4.7056,120.896028,-40.003147999999996,2.21
45556,278.4592,-7.0111,139.272528,-59.275229,2.21
76267,41.87,53.7727,233.67195,26.714693,2.22
100453,78.1486,1.8671,305.557091,40.256679,2.23
44816,265.935,2.8211,136.99899399999998,-43.432589,2.23
65378,113.1111,61.5791,200.981429,54.925362,2.23
3179,121.4163,-6.3022,10.126835,56.53733100000001,2.24
87833,79.055,29.2173,269.151541,51.488895,2.24
25930,203.8559,-17.7397,83.00166999999999,-0.299092,2.25
746,117.5269,-3.2772,2.294521,59.14978000000001,2.28
82396,348.8125,6.5601,252.540887,-34.293232,2.29
66657,310.192,8.721,204.97191,-53.466393999999994,2.29
78401,350.097,22.4905,240.08335899999997,-22.62171,2.29
71860,321.6108,11.4366,220.482315,-47.3882,2.3
71352,322.7741,16.6692,218.876766,-42.157824,2.33
53910,149.1664,54.804,165.46032,56.382427,2.34
72105,39.3846,64.7841,221.24674,27.074222,2.35
107315,65.5709,-31.4575,326.046492,9.875011,2.38
86670,351.0438,-4.7192,265.621979,-39.029983,2.39
2081,320.0028,-73.9791,6.571046000000001,-42.305982,2.4
58001,140.8404,61.3848,178.457698,53.694759999999995,2.41
84012,6.7212,14.0078,257.594531,-15.724910000000001,2.43
113881,95.7479,-29.045,345.943573,28.082789000000002,2.44
105199,100.9986,9.1721,319.644881,62.585573,2.45
35904,242.6165,-6.4857,111.02376100000001,-29.303103999999998,2.45
45941,275.8823,-3.5374,140.52841,-55.010668,2.47
102488,75.9502,-5.7152,311.552845,33.970256,2.48
113963,88.2797,-40.3809,346.190224,15.205264000000001,2.49
14135,173.3158,-45.5955,45.569884,4.089734,2.54
81377,6.2811,23.5877,249.28974100000002,-10.567089999999999,2.54
68002,314.0689,14.1926,208.884941,-47.288375,2.55
54872,224.2274,66.8273,168.527089,20.523717,2.56
78820,353.1929,23.5997,241.35929500000003,-19.805453,2.56
25985,220.9471,-25.1414,83.18256600000001,-17.822289,2.58
59803,290.9852,44.5017,183.951543,-17.541929,2.58
59196,295.9965,11.5683,182.089583,-50.722426,2.58
93506,6.8403,-15.3536,285.652975,-29.880105,2.6
74785,352.0224,39.2341,229.25172799999999,-9.382916999999999,2.61
77070,14.2025,44.0792,236.066979,6.4256269999999995,2.63
8903,142.2445,-39.6815,28.660038,20.808035,2.64
61359,297.8739,39.3076,188.596811,-23.396759,2.65
28380,174.3382,6.7293,89.93028699999999,37.212585,2.65
26634,238.8088,-28.8573,84.912249,-34.074108,2.65
6686,127.1893,-2.3519,21.453968,60.235282999999995,2.66
67927,5.2913,73.0307,208.671161,18.397717,2.68
73273,326.2524,13.9092,224.63302799999997,-43.133959999999995,2.68
23015,170.59,-6.1595,74.248412,33.166090000000004,2.69
52727,283.0266,8.5724,161.692409,-49.420255,2.69
61585,301.6558,-6.2991,189.29591000000002,-69.135564,2.69
35264,249.0107,-11.279,109.285652,-37.09747,2.71
89931,3.0009,-7.1545,275.24850699999996,-29.828103000000002,2.72
97278,48.726,-7.0811,296.564915,10.613261,2.72
80331,92.5843,40.9511,245.99785899999998,61.514213,2.73
79593,8.8433,32.1967,243.58641400000002,-3.6943230000000002,2.73
61941,297.8374,61.3255,190.415176,-1.449375,2.74
52419,289.5978,-4.9017,160.739172,-64.39445,2.74
26241,209.5221,-19.5835,83.85826,-5.9099010000000005,2.75
65109,309.4196,25.792,200.14924,-36.712295000000005,2.75
72622,340.3262,38.0083,222.71963799999997,-16.041778,2.75
86742,29.2131,17.191,265.868138,4.567303,2.76
23875,205.3377,-25.3153,76.962438,-5.086446,2.78
80816,39.0079,40.2127,247.555,21.489613000000002,2.78
84345,35.5337,27.8184,258.66191000000003,14.390332999999998,2.78
85670,79.5789,33.3102,262.608175,52.301387,2.79
59747,298.229,3.7911,183.786315,-58.748928,2.79
76297,333.1941,11.8914,233.7852,-41.166757000000004,2.8
25606,223.561,-27.2012,82.061347,-20.759441,2.81
81693,52.6599,40.288,250.32150099999998,31.602726,2.81
2021,304.7788,-39.7806,6.4378,-77.254246,2.82
90496,7.6607,-6.5217,276.992669,-25.4217,2.82
81266,351.5348,12.8082,248.97064100000003,-28.216015999999996,2.82
1067,109.4338,-46.6845,3.3089699999999995,15.183596,2.83
77952,321.8461,-7.5232,238.78567599999997,-63.430727000000005,2.83
39757,243.1485,4.402,121.88603700000002,-24.304323999999998,2.83
85792,340.7554,-8.8272,262.960389,-49.876145,2.84
85258,335.3672,-11.0128,261.324953,-55.529883999999996,2.84
18246,162.2891,-16.6904,58.53300600000001,31.883636,2.84
107556,37.6012,-46.0124,326.76018799999997,-16.127285999999998,2.85
17702,166.6681,-23.4552,56.871152,24.105137,2.85
63608,312.3273,73.6346,195.54415500000002,10.95915,2.85
97165,78.7094,10.2431,296.243658,45.13081,2.86
9236,289.4468,-53.7603,29.692473,-61.569858999999994,2.86
30343,189.7263,4.1692,95.740113,22.513586,2.87
110130,330.2214,-47.9633,334.625392,-60.259588,2.87
74946,315.712,-9.5497,229.72742599999998,-68.67954499999999,2.87
13847,247.8557,-60.7362,44.565311,-40.304672,2.88
94141,15.8858,-13.2937,287.440971,-21.023615,2.88
63125,118.302,78.7687,194.006947,38.31838,2.89
78265,347.2148,20.2305,239.71297,-26.114105,2.89
36188,209.5199,11.6787,111.787678,8.289315,2.89
80112,351.313,16.9989,245.29715,-25.592796,2.9
18532,157.3537,-10.0884,59.463460999999995,40.010215,2.9
106278,48.0228,-37.879,322.889725,-5.571172,2.9
14328,142.0675,-4.3368,46.199128,53.506440000000005,2.91
48002,285.0385,-8.8197,146.775507,-65.072007,2.92
112158,92.4958,-24.9534,340.750573,30.221245,2.93
60965,295.4729,46.044,187.466064,-16.515432999999998,2.94
32768,260.163,-20.8626,102.48403499999999,-50.61456,2.94
109074,59.9287,-42.066,331.44598199999996,-0.319851,2.95
26451,185.6863,-5.636,84.411191,21.142549,2.97
18543,205.1617,-44.4728,59.50736,-13.508515,2.97
