Glon,Glat,ra,dec,HIP,vmag,VarFlag,BTmag,VTmag,B-V
14.398,8.9822,266.094963,-12.019067999999999,86818,9.94,,10.645999999999999,10.039,0.5820000000000001
183.9943,-36.8295,57.469173,4.091464,17916,9.87,,10.655,9.921,0.6579999999999999
83.0818,-65.319,357.205763,-7.412963,117446,9.84,,11.154000000000002,9.987,1.001
328.9879,60.1642,205.48203999999998,-0.129144,66840,9.76,,11.302999999999999,9.891,1.288
145.0448,35.6081,132.58284,69.364981,43390,9.57,,10.744000000000002,9.648,0.9470000000000001
359.9473,-66.2325,347.53713999999997,-37.776727,114405,9.53,,10.853,9.618,1.054
127.5231,69.1822,190.429431,47.859254,61945,9.44,,10.788,9.548,1.058
165.6712,-40.0067,44.959918,11.977839,13966,9.44,,10.318,9.517000000000001,0.725
249.8785,59.5916,168.805846,7.035861,54954,9.4,,10.212,9.476,0.62
125.4299,33.0699,173.48533799999998,83.678236,56414,9.36,,10.048,9.402000000000001,0.6
81.6882,-41.5014,342.605778,11.48034,112785,9.32,,11.091,9.5,1.334
257.1195,43.8153,161.394584,-7.580644,52617,9.3,,9.375,9.337,0.04
352.8472,-41.1028,315.11537200000004,-47.021013,103676,9.29,,10.572000000000001,9.327,1.062
331.7336,-68.6494,358.465153,-45.123425,117831,9.28,,9.916,9.331,0.569
16.3799,-68.5348,348.665406,-31.140484000000004,114748,9.28,,10.977,9.407,1.0
158.8258,-64.1042,27.764886999999998,-5.4697,8611,9.28,,9.8,9.37,0.406
224.2786,76.7521,178.643101,23.810976,58071,9.27,,10.158999999999999,9.416,0.665
194.3694,50.1495,147.03645,32.114543,48082,9.25,,10.261,9.362,0.799
315.3142,62.4878,198.54395,0.164163,64575,9.24,,9.817,9.275,0.508
47.4887,-76.5149,358.66241099999996,-23.032277,117882,9.24,,9.777999999999999,9.269,0.45399999999999996
319.5652,86.2956,194.015631,23.574143,63128,9.23,,11.277000000000001,9.391,1.48
339.4588,47.1387,217.04207000000002,-8.756960000000001,70752,9.23,,11.333,9.452,1.5630000000000002
154.983,30.0993,116.56446499999998,61.798592000000006,37919,9.22,,10.498,9.302,1.024
35.9018,-17.1482,299.48735800000003,-5.1856089999999995,98257,9.21,,9.934,9.298,0.591
112.0624,72.4379,197.41961799999999,44.303321999999994,64215,9.21,,9.792,9.251,0.507
15.7796,-75.1448,356.335647,-30.532984000000003,117170,9.2,,9.75,9.232000000000001,0.496
123.679,-74.7404,13.06051,-11.869803,4074,9.17,,9.704,9.238,0.452
107.223,58.4509,207.857057,56.810255000000005,67628,9.17,,9.921,9.222000000000001,0.632
272.4739,67.6831,181.664024,7.498957000000001,59057,9.14,,9.959,9.219,0.664
125.3754,27.9219,123.534454,87.692336,40335,9.13,,9.5,9.131,0.35
211.0347,61.8375,161.613924,24.576466,52695,9.13,,10.615,9.26,1.148
303.579,41.571,193.379004,-21.298149,62902,9.12,,10.714,9.26,1.226
230.3304,-28.1375,83.269164,-26.724515999999998,26013,9.12,,10.462,9.241,1.045
47.2167,-47.6219,331.165795,-10.884466,108979,9.11,,9.557,9.119,0.413
41.6217,44.4035,243.78026400000002,24.526789,79639,9.11,,9.745,9.157,0.5489999999999999
199.5809,5.8145,101.99597,14.515967999999999,32593,9.1,,10.193999999999999,9.243,0.838
8.3027,29.4334,245.57135099999996,-5.678769,80191,9.1,,10.784,9.246,1.2919999999999998
180.2163,-6.886,80.04515400000001,25.016026999999998,24897,9.1,,9.439,9.148,0.27699999999999997
161.5318,78.9182,184.38579199999998,35.533008,59927,9.09,,10.669,9.253,1.32
76.1422,56.3191,228.321329,45.837816,74489,9.08,,9.431000000000001,9.071,0.371
62.0832,-30.0606,323.028084,8.441982000000001,106330,9.08,,10.201,9.149,0.9129999999999999
269.2143,-53.2688,47.17139,-53.918877,14611,9.07,,9.83,9.12,0.633
113.243,54.1921,204.972799,62.015289,66658,9.06,,9.437999999999999,9.072000000000001,0.34700000000000003
326.7038,-66.5458,359.001824,-47.943612,117992,9.05,,10.399000000000001,9.183,1.0390000000000001
124.0683,-60.9573,13.41138,1.9095659999999999,4203,9.04,,9.703,9.08,0.58
296.1981,-61.5914,18.474976,-55.24215600000001,5758,9.04,,9.571,9.084,0.47
113.6538,44.0397,214.296177,71.511167,69808,9.03,,10.311,9.15,0.997
83.4677,-61.7963,355.324827,-4.423189,116864,9.01,,10.238,9.133,0.953
211.6936,56.8731,156.417711,23.102692,51041,9.0,,10.148,9.085,0.9209999999999999
310.404,-60.0833,6.084491000000001,-56.650047,1931,9.0,,9.79,9.077,0.6559999999999999
57.4706,-67.554,351.646609,-16.278924,115707,9.0,,11.179,9.119,1.5
115.058,63.7816,198.630363,52.99228000000001,64608,9.0,,10.066,9.078,0.865
220.1534,-78.8192,25.439663,-27.971090000000004,7917,8.99,,9.713,9.033,0.617
18.1033,34.5837,245.79036200000002,4.088366000000001,80274,8.98,,9.435,9.039,0.375
11.1376,-35.2408,309.187502,-32.207145000000004,101693,8.97,,9.497,8.999,0.498
198.8197,34.9882,130.677684,26.055694,42746,8.97,,9.76,9.17,0.551
156.8142,-31.6516,43.876862,22.934178,13627,8.96,,11.264000000000001,9.131,1.7630000000000001
302.6311,-19.1755,190.806875,-82.042455,62065,8.96,,10.494000000000002,9.086,1.19
158.8756,27.8433,112.616475,58.220296,36488,8.95,,9.604,8.996,0.5670000000000001
7.8763,-88.4695,11.292547,-27.767673,3538,8.95,,9.408,8.994,0.4
159.2587,40.2617,135.973402,57.336138,44492,8.95,,10.270999999999999,9.049,1.044
270.7065,38.4757,166.853794,-17.800979,54368,8.95,,10.932,9.135,1.496
