,name,ra,dec,ID
0,Mrk 421,166.11399,38.208801,1
1,Mrk 501,253.46800500000003,39.760201,2
2,1ES 2344+51.4,356.77099499999997,51.705002,3
3,PKS 2155-304,329.71701,-30.225599,4
4,Crab,83.63308500000001,22.0145,5
5,H 1426+428,217.13601,42.674702,6
6,1ES 1959+650,299.998995,65.148499,7
7,1ES 1218+304,185.341335,30.176896999999997,9
8,IC 310,49.179165000000005,41.325,11
9,1H0323+342,51.17151,34.179406,12
10,RGB J0521.8+2112,80.441535,21.214397,14
11,PKS 0736+01,114.825135,1.61795,16
12,V404 Cyg,306.01594500000004,33.867278000000006,17
